Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
AKT1	v-akt murine thymoma viral oncogene homolog 1	207	14:104770341-104792643	1	Yes	14q32.32	yes		"breast, colorectal, ovarian, NSCLC"			E	Dom	oncogene	Mis				"207,AKT1,ENSG00000142208,P31749"
AKT2	v-akt murine thymoma viral oncogene homolog 2	208	19:40233872-40265267	1		19q13.1-q13.2	yes		"ovarian, pancreatic"			E	Dom	oncogene	A				"208,AKT2,ENSG00000105221,P31751"
AKT3	v-akt murine thymoma viral oncogene homolog 3	10000	1:243505249-243843170	2		1q43-q44	yes		GBM			O		oncogene	A				"10000,AKT3,ENSG00000117020,Q9Y243"
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	217	12:111766983-111809575	2		12q24.2	yes		leiomyoma			M	Dom	fusion	T	HMGA2			"217,ALDH2,ENSG00000111275,P05091"
ALK	anaplastic lymphoma kinase (Ki-1)	238	2:29193224-29920659	1	Yes	2p23	yes	yes	"ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour"	neuroblastoma	familial neuroblastoma	"L, E, M"	Dom	"oncogene, fusion"	"T, Mis, A"	"NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, RNF213, CARS, EML4, KIF5B, C2orf22, DCTN1, HIP1, TPR, RANBP2, PPFIBP1, SEC31A, STRN, VCL, C2orf44, KLC1"			"238,ALK,ENSG00000171094,Q9UM73"
AMER1	APC membrane recruitment protein 1	139285	X:64186117-64193286	1	Yes	Xq11.2	yes		Wilms tumour			O	Rec	TSG	"F, D, N, Mis"				"139285,AMER1,ENSG00000184675,FAM123B,Q5JTC6"
ANK1	ankyrin 1	286	8:41655727-41797538	2		8p11.21	yes		CCRCC			E			Mis				"286,ANK,ANK1,ENSG00000029534,P16157"
APC	adenomatous polyposis of the colon gene	324	5:112754891-112844126	1	Yes	5q21	yes	yes	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	"adenomatous polyposis coli; Turcot syndrome"	"E, M, O"	Rec	TSG	"D, Mis, N, F, S"				"324,APC,ENSG00000134982,P25054"
APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	9582	22:38982454-38992445	1	Yes	22q13.1		yes		breast cancer		E	Rec	"oncogene, TSG"	D				"9582,APOBEC3B,ENSG00000179750,Q9UH17"
AR	Androgen Receptor	367	X:67545147-67723841	1	Yes	Xq12	yes	yes	prostate			E	Dom	oncogene	Mis		yes	"Androgen insensitivity, Hypospadias 1, X-linked, Spinal and bulbar muscular atrophy of Kennedy"	"367,AR,DHTR,ENSG00000169083,SBMA"
ARAF	"A-Raf proto-oncogene, serine/threonine kinase"	369	X:47562968-47571457	2		Xp11.3	yes		"cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis"			"E, L"		oncogene	Mis				"369,ARAF,ARAF1,ENSG00000078061,P10398"
ARHGAP26	Rho GTPase activating protein 26	23092	5:142770762-143222446	1		5q31	yes		"AML, MDS"			L	Dom	"TSG, fusion"	"T, F, S"	KMT2A			"23092,ARHGAP26,ENSG00000145819,Q9UNA1"
ARHGAP5	Rho GTPase activating protein 5	394	14:32090670-32154948	2		14q12	yes		"colon cancer, glioma"			"E, O"		oncogene	Mis				"394,ARHGAP5,ENSG00000100852,GFI2,Q13017"
ARHGEF10	Rho guanine nucleotide exchange factor 10	9639	8:1876561-1957263	2		8p23.3	yes		colon cancer			E		TSG	D				"9639,ARHGEF10,ENSG00000104728,O15013"
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	55160	1:17580596-17697380	2		1p36.13	yes		lymphoma			L		TSG	D				"55160,ARHGEF10L,ENSG00000074964,Q9HCE6"
ARHGEF12	RHO guanine nucleotide exchange factor (GEF) 12 (LARG)	23365	11:120337244-120485077	1		11q23.3	yes		AML			L	Dom	"TSG, fusion"	T	KMT2A			"23365,ARHGEF12,ENSG00000196914,Q9NZN5"
ARID1A	AT rich interactive domain 1A (SWI-like)	8289	1:26696404-26780756	1	Yes	1p35.3	yes		"clear cell ovarian carcinoma, RCC, breast"			E	Rec	"TSG, fusion"	"Mis, N, F, S, D, T"	MAST2			"8289,ARID1A,C1orf4,ENSG00000117713,O14497,SMARCF1"
ARID1B	AT rich interactive domain 1B	57492	6:156778104-157207891	1		6q25.1	yes		"breast, hepatocellular carcinoma, clear cell ovarian carcinoma"			E	Rec	TSG	"Mis, F, N, O"				"57492,ARID1B,ENSG00000049618"
ARID2	AT rich interactive domain 2	196528	12:45729837-45905078	1	Yes	12q12	yes		hepatocellular carcinoma			E	Rec	TSG	"N, S, F"				"196528,ARID2,ENSG00000189079,Q68CP9"
ARNT	aryl hydrocarbon receptor nuclear translocator	405	1:150812021-150876567	1	Yes	1q21	yes		AML			L	Dom	"oncogene, TSG, fusion"	T	ETV6			"405,ARNT,ENSG00000143437,P27540"
ASPSCR1	"alveolar soft part sarcoma chromosome region, candidate 1"	79058	17:81977648-82017323	1	Yes	17q25	yes		alveolar soft part sarcoma			M	Dom	fusion	T	TFE3			"79058,ASPSCR1,ENSG00000169696,Q9BZE9"
ASXL1	additional sex combs like 1	171023	20:32358776-32437338	1	Yes	20q11.1	yes		"MDS, CMML"			L	Rec	TSG	"F, N, Mis"		yes	Bohring-Opitz syndrome	"171023,ASXL1,ENSG00000171456,Q8IXJ9"
ASXL2	"additional sex combs like 2, transcriptional regulator"	55252	2:25742029-25759640	2		2p23.3	yes		"melanoma, CCRCC, AML"			"E, L"		TSG	"O,N, F"				"55252,ASXL2,ENSG00000143970,Q76L83"
ATF1	activating transcription factor 1	466	12:50780147-50819780	1	Yes	12q13	yes		"malignant melanoma of soft parts, angiomatoid fibrous histiocytoma"			"E, M"	Dom	"oncogene, fusion"	T	"EWSR1, FUS"			"466,ATF1,ENSG00000123268,P18846"
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	471	2:215312144-215349656	1	Yes	2q35	yes		ALCL			L	Dom	fusion	T	ALK			"471,ATIC,ENSG00000138363,P31939"
ATM	ataxia telangiectasia mutated	472	11:108227625-108365508	1	Yes	11q22.3	yes	yes	T-PLL	"leukaemia, lymphoma, medulloblastoma, glioma"	ataxia-telangiectasia	"L, O"	Rec	TSG	"D, Mis, N, F, S"				"472,ATA,ATC,ATD,ATDC,ATM,ENSG00000149311,Q13315"
ATP1A1	"ATPase, Na+/K+ transporting, alpha 1 polypeptide"	476	1:116373512-116404444	1	Yes	1p21	yes		adrenal aldosterone producing adenoma			E	Dom	"oncogene, TSG"	"Mis, O"				"476,ATP1A1,ENSG00000163399,P05023"
ATP2B3	"ATPase, Ca++ transporting, plasma membrane 3"	492	X:153536248-153580003	1	Yes	Xq28	yes		adrenal aldosterone producing adenoma			E	Dom	TSG	O				"492,ATP2B3,CLA2,ENSG00000067842,Q16720,SCAX1"
ATR	ATR serine/threonine kinase	545	3:142449429-142578704	1	Yes	3q23	yes	yes	"endometrial, gastric, epithelial ovarian, myeloma"	oropharyngeal	familial cutaneous telangiectasia and cancer syndrome	"E; L"	Dom	TSG	"F; Mis"		yes	Seckel syndrome 1	"545,ATR,ENSG00000175054,Q13535"
ATRX	alpha thalassemia/mental retardation syndrome X-linked	546	X:77508351-77786001	1	Yes	Xq21.1	yes		"pancreatic neuroendocrine tumours, paediatric GBM"			E	Rec	TSG	"Mis, F, N"		yes	ATR-X (alpha thalassemia/mental retardation) syndrome	"546,ATRX,ENSG00000085224,JMS,MRX52,P46100,RAD54"
AXIN1	axin 1	8312	16:288122-347025	1	Yes	16p13.3	yes		"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma"			"E, O"	Rec	TSG	"D, Mis, N, F, S"				"8312,AXIN1,ENSG00000103126,O15169"
AXIN2	axin 2	8313	17:65529976-65558620	1	Yes	17q24.1	yes	yes	"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma"	colorectal carcinoma	oligodontia-colorectal cancer syndrome	E	Rec	TSG	"Mis, F, N"				"8313,AXIN2,ENSG00000168646,Q9Y2T1"
B2M	beta-2-microglobulin	567	15:44711547-44716342	1	Yes	15q21.1	yes		"DLBCL, melanoma, colorectal adenocarcinoma"			"E, L"	Rec	TSG	"Mis, N, F"		yes	Immunodeficiency 43	"567,B2M,ENSG00000166710,P61769"
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	8314	3:52402288-52409878	1	Yes	3p21.31-p21.2	yes	yes	"uveal melanoma, breast, NSCLC, RCC"	"mesothelioma, uveal melanoma"		E	Rec	TSG	"N, Mis, F, S, O"				"8314,BAP1,ENSG00000163930,Q92560"
BARD1	BRCA1 associated RING domain 1	580	2:214728676-214809569	1		2q35	yes	yes	breast cancer	"ovarian cancer, breast cancer, endometrioid cancer"		E		TSG	Mis				"580,BARD1,ENSG00000138376,Q99728"
BAX	"BCL2 associated X, apoptosis regulator"	581	19:48954929-48961097	1		19q13.33	yes		colorectal cancer			E		TSG	"F, Mis"				"581,BAX,ENSG00000087088,Q07812"
BAZ1A	bromodomain adjacent to zinc finger domain 1A	11177	14:34753508-34874604	2		14q13.1-q13.2	yes		"uterine carcinosarcoma, colon cancer"			E		TSG	D				"11177,BAZ1A,ENSG00000198604,Q9NRL2"
BCL10	B-cell CLL/lymphoma 10	8915	1:85267627-85276352	1	Yes	1p22	yes		MALT			L	Dom	"TSG, fusion"	T	IGH			"8915,BCL10,ENSG00000142867,O95999"
BCL11A	B-cell CLL/lymphoma 11A	53335	2:60460404-60553270	1	Yes	2p13	yes		B-CLL			L	Dom	"oncogene, fusion"	T	IGH			"53335,BCL11A,ENSG00000119866,EVI9,Q9H165"
BCL11B	B-cell CLL/lymphoma 11B  (CTIP2)	64919	14:99174151-99271218	1	Yes	14q32.1	yes		T-ALL			L	Dom	"oncogene, TSG, fusion"	T	TLX3			"64919,BCL11B,ENSG00000127152,Q9C0K0,ZNF856B"
BCL2	B-cell CLL/lymphoma 2	596	18:63128625-63318666	1		18q21.3	yes		"NHL, CLL"			L	Dom	"oncogene, fusion"	T	IGH			"596,BCL2,ENSG00000171791,P10415"
BCL2L12	BCL2 like 12	83596	19:49665824-49673748	2		19q13.33	yes		"melanoma, SCC"			E		oncogene	Mis				"83596,BCL2L12,ENSG00000126453,Q9HB09"
BCL3	B-cell CLL/lymphoma 3	602	19:44748791-44759615	1		19q13	yes		CLL			L	Dom	"oncogene, fusion"	T	IGH			"602,BCL3,BCL4,D19S37,ENSG00000069399,P20749"
BCL6	B-cell CLL/lymphoma 6	604	3:187722458-187733693	1		3q27	yes		"NHL, CLL"			L	Dom	"oncogene, fusion"	"T, Mis"	"IG loci, ZNFN1A1, LCP1, PIM1, TFRC, CIITA, NACA, HSPCB, HSP90AA1, HIST1H4I, IL21R,  POU2AF1, RHOH, EIF4A2, SRSF3"			"604,BCL6,ENSG00000113916,P41182,ZNF51"
BCL7A	B-cell CLL/lymphoma 7A	605	12:122022092-122059163	1		12q24.1	yes		BNHL			L	Dom	fusion	T	MYC			"605,BCL7,BCL7A,ENSG00000110987,Q4VC05"
BCL9	B-cell CLL/lymphoma 9	607	1:147611837-147624864	1	Yes	1q21	yes		B-ALL			L	Dom	"oncogene, fusion"	T	"IGH, IGL"			"607,BCL9,ENSG00000116128,O00512"
BCL9L	B-cell CLL/lymphoma 9-like	283149	11:118898415-118909939	1		11q23.3	yes		"colorectal cancer, endometrial carcinoma, gastric cancer"			E		"oncogene, TSG"	"Mis, F"				"283149,BCL9L,ENSG00000186174,Q86UU0"
BCLAF1	BCL2 associated transcription factor 1	9774	6:136261259-136279866	2		6q23.3	yes		"melanoma, SCC"			E			Mis				"9774,BCLAF1,ENSG00000029363,Q9NYF8"
BCOR	BCL6 corepressor	54880	X:40052109-40077929	1	Yes	Xp11.4	yes		"retinoblastoma, AML, APL (translocation)"			"L, M"	Rec	"TSG, fusion"	"F, N, S, T"	RARA	yes	Oculo-facio-cardio-dental genetic	"54880,BCOR,ENSG00000183337,Q6W2J9"
BCORL1	BCL6 corepressor-like 1	63035	X:130005232-130056136	1	Yes	Xq25-q26.1	yes		"AML, HNSCC"			"E, L"		"oncogene, TSG"	"Mis, N, F"				"63035,BCORL1,CXorf10,ENSG00000085185,Q5H9F3"
BCR	breakpoint cluster region	613	22:23180961-23315522	1		22q11.21	yes		"CML, ALL, AML"			L	Dom	fusion	T	"ABL1,  FGFR1, JAK2"			"613,BCR,BCR1,D22S11,ENSG00000186716,P11274"
BIRC3	baculoviral IAP repeat-containing 3	330	11:102324510-102337102	1	Yes	11q22	yes		"CLL, MALT, MCL, MM"			L	Dom	"oncogene, TSG, fusion"	"D, F, N, T, Mis"	MALT1			"330,API2,BIRC3,ENSG00000023445,Q13489"
BIRC6	baculoviral IAP repeat containing 6	57448	2:32357162-32617904	2		2p22.3	yes		"melanoma, gastric adenocarcinoma, lung adenocarcinoma"			E		"oncogene, fusion"	"T, Mis"	ALK			"57448,BIRC6,ENSG00000115760,Q9NR09"
BLM	Bloom Syndrome	641	15:90747393-90815279	1	Yes	15q26.1		yes		"leukaemia, lymphoma, skin squamous cell, other tumour types"	Bloom syndrome	"L, E"	Rec	TSG	"Mis, N, F"				"641,BLM,ENSG00000197299,P54132"
BMP5	bone morphogenetic protein 5	653	6:55755533-55874865	2		6p12.1	yes		melanoma			E			Mis				"653,BMP5,ENSG00000112175,P22003"
BMPR1A	"bone morphogenetic protein receptor, type IA"	657	10:86876019-86923719	1	Yes	10q22.3		yes		gastrointestinal polyps	juvenile polyposis	E	Rec	"oncogene, TSG"	"Mis, N, F"				"657,ACVRLK3,ALK3,BMPR1A,CD292,ENSG00000107779,P36894"
BRAF	v-raf murine sarcoma viral oncogene homolog B1	673	7:140734597-140924703	1	Yes	7q34	yes		"melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric"			"E, O"	Dom	"oncogene, fusion"	"Mis, T, O"	"AKAP9, KIAA1549, CEP88, LSM14A, SND1, FCHSD1, SLC45A3, FAM131B, RNF130, CLCN6, MKRN1, GNAI1, AGTRAP"	yes	Cardio-facio-cutaneous syndrome	"673,BRAF,ENSG00000157764,P15056"
BRCA1	familial breast/ovarian cancer gene 1	672	17:43045678-43124096	1	Yes	17q21	yes	yes	ovarian	"breast, ovarian"	hereditary breast/ovarian cancer	E	Rec	TSG	"D, Mis, N, F, S"				"672,BRCA1,ENSG00000012048,P38398"
BRCA2	familial breast/ovarian cancer gene 2	675	13:32316461-32398770	1	Yes	13q12	yes	yes	"breast, ovarian, pancreatic"	"breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)"	hereditary breast/ovarian cancer	"L, E"	Rec	TSG	"D, Mis, N, F, S"				"675,BRCA2,ENSG00000139618,FACD,FANCD,FANCD1,P51587"
BRD3	bromodomain containing 3	8019	9:134033590-134053477	1		9q34	yes		lethal midline carcinoma of young people			E	Dom	"oncogene, fusion"	T	NUTM1			"8019,BRD3,ENSG00000169925,Q15059"
BRD4	bromodomain containing 4	23476	19:15249280-15273099	1	Yes	19p13.1	yes		lethal midline carcinoma of young people			E	Dom	"oncogene, fusion"	T	NUTM1			"23476,BRD4,ENSG00000141867,O60885"
BRIP1	BRCA1 interacting protein C-terminal helicase 1	83990	17:61683296-61861539	1	Yes	17q22		yes		"AML, leukaemia, breast"	"Fanconi anaemia J, breast cancer susceptiblity"	"L, E"	Rec	TSG	"F, N, Mis"				"83990,BRIP1,ENSG00000136492,Q9BX63"
BTG1	"B-cell translocation gene 1, anti-proliferative"	694	12:92144080-92145535	1		12q22	yes		B-CLL			L	Dom	"TSG, fusion"	T	MYC			"694,BTG1,ENSG00000133639,P62324"
BTK	Bruton agammaglobulinemia tyrosine kinase	695	X:101349885-101375284	1	Yes	Xq21.33-q22	yes		"CLL, mantle cell lymphoma, WM"			L	Dom	"oncogene, TSG"	Mis		yes	agammaglobulinemia	"695,AGMX1,BTK,ENSG00000010671,IMD1,Q06187"
BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	701	15:40161221-40220759	1	Yes	15q15		yes		rhabdomyosarcoma	mosaic variegated aneuploidy	M	Rec	TSG	"Mis, N, F, S"				"701,BUB1B,ENSG00000156970,O60566"
C15orf65	chromosome 15 open reading frame 65	145788	15:-	2		15q21.3	yes		"PMBL, Hodgkin lymphoma"			L	Dom	fusion	T	CIITA			
C2orf44	chromosome 2 open reading frame 44	80304	2:24030933-24039494	1		2p23.3	yes		colorectal			E	Dom	fusion	T	ALK			"80304,C2orf44,ENSG00000163026,Q9H6R7"
CACNA1D	"calcium channel, voltage-dependent, L type, alpha 1D subunit"	776	3:53495167-53811406	1	Yes	3p14.3	yes		adrenal aldosterone producing adenoma			E	Dom	oncogene	Mis		yes	"Syndrome featuring primary aldosteronism, seizures and neuromuscular disease."	"776,CACNA1D,CACNL1A2,CCHL1A2,ENSG00000157388,Q01668"
CALR	calreticulin	811	19:12938680-12943913	1	Yes	19p13.3-p13.2	yes		"MPN, MDS"			L	Dom	oncogene	"F, Mis"				"811,CALR,ENSG00000179218,P27797"
CAMTA1	calmodulin binding transcription activator 1	23261	1:6785531-7766491	1	Yes	1p36.31-p36.23	yes		epithelioid haemangioendothelioma			M	Dom	"TSG, fusion"	T	WWTR1			"23261,CAMTA1,ENSG00000171735,Q9Y6Y1"
CANT1	calcium activated nucleotidase 1	124583	17:78993550-78997622	1	Yes	17q25	yes		prostate			E	Dom	fusion	T	ETV4			"124583,CANT1,ENSG00000171302,Q8WVQ1"
CARD11	"caspase recruitment domain family, member 11"	84433	7:2906638-2958506	1	Yes	7p22	yes		DLBCL			L	Dom	oncogene	Mis				"84433,CARD11,ENSG00000198286,Q9BXL7"
CARS	cysteinyl-tRNA synthetase	833	11:3001114-3057367	1	Yes	11p15.5	yes		ALCL			L	Dom	"TSG, fusion"	T	ALK			"833,CARS,ENSG00000110619,P49589"
CASC5	cancer susceptibility candidate 5	57082	15:40602933-40654977	1	Yes	15q14	yes		AML			L	Dom	"TSG, fusion"	T	KMT2A			"57082,CASC5,ENSG00000137812,MCPH4,Q8NG31"
CASP3	caspase 3	836	4:184629272-184638453	2		4q35.1	yes		ovarian cancer			E		TSG	D				"836,CASP3,ENSG00000164305,P42574"
CASP8	"caspase 8, apoptosis-related cysteine peptidase"	841	2:201266487-201286594	1	Yes	2q33-q34	yes		"hepatocellular, oral squamous cell, breast"			E	Rec	TSG	"N, S, F"				"841,CASP8,ENSG00000064012,Q14790"
CASP9	caspase 9	842	1:15492943-15524200	2		1p36.21	yes		glioma			O		TSG	D				"842,CASP9,ENSG00000132906,P55211"
CBFA2T3	"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)"	863	16:88876976-88976807	1	Yes	16q24	yes		AML			L	Dom	"TSG, fusion"	T	"RUNX1, GLIS2"			"863,CBFA2T3,ENSG00000129993,O75081"
CBFB	"core-binding factor, beta subunit"	865	16:67029409-67098733	1	Yes	16q22	yes		AML			L	Dom	"TSG, fusion"	T	MYH11			"865,CBFB,ENSG00000067955,Q13951"
CBL	Cas-Br-M (murine) ecotropic retroviral transforming	867	11:119206418-119299781	1	Yes	11q23.3	yes		"AML, JMML, MDS"			L	Dom/Rec	"oncogene, TSG, fusion"	"T, Mis, S, O"	KMT2A			"867,CBL,CBL2,ENSG00000110395,P22681"
CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	868	3:105658970-105867577	1	Yes	3q13.11	yes		AML			L	Rec	TSG	"Mis, S"				"868,CBLB,ENSG00000114423,Q13191"
CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	23624	19:44777932-44800443	1		19q13.2	yes		AML			L	Rec	"oncogene, TSG"	M				"23624,CBLC,ENSG00000142273,Q9ULV8"
CCDC6	coiled-coil domain containing 6	8030	10:59792917-59906424	1	Yes	10q21	yes		"papillary thyroid, CML, NSCLC"			E	Dom	"TSG, fusion"	T	"RET, PDGFRB"			"8030,CCDC6,D10S170,ENSG00000108091,Q16204,TST1"
CCNB1IP1	"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase"	57820	14:20311550-20316523	1	Yes	14q11.2	yes		leiomyoma			M	Dom	"TSG, fusion"	T	HMGA2			"57820,C14orf18,CCNB1IP1,ENSG00000100814,Q9NPC3"
CCNC	cyclin C	892	6:99991431-100010824	2		6q16.2	yes		T-ALL			L		TSG	D				
CCND1	cyclin D1	595	11:69641314-69651282	1	Yes	11q13	yes		"CLL, B-ALL, breast"			"L, E"	Dom	"oncogene, fusion"	T	"IGH, FSTL3"			"595,BCL1,CCND1,D11S287E,ENSG00000110092,P24385,PRAD1"
CCND2	cyclin D2	894	12:4274041-4300009	1	Yes	12p13	yes		"NHL,CLL"			L	Dom	"oncogene, fusion"	T	IGL			"894,CCND2,ENSG00000118971,P30279"
CCND3	cyclin D3	896	6:41935940-41941649	1		6p21	yes		MM			L	Dom	"oncogene, fusion"	T	IGH			"896,CCND3,ENSG00000112576,P30281"
CCNE1	cyclin E1	898	19:29812556-29823777	1	Yes	19q12	yes		serous ovarian			E	Dom	oncogene	A				"898,CCNE,CCNE1,ENSG00000105173,P24864"
CCR4	C-C motif chemokine receptor 4	1233	3:32953423-32954505	2		3p22.3	yes		adult T-cell leukaemia/lymphoma			L		oncogene	N				"1233,CCR4,ENSG00000183813,P51679"
CCR7	C-C motif chemokine receptor 7	1236	17:40554742-40565409	2		17q21.2	yes		adult T-cell leukaemia/lymphoma			L		oncogene	N				"1236,CCR7,CMKBR7,EBI1,ENSG00000126353,P32248"
CD209	CD209 molecule	30835	19:7743039-7747511	2		19p13.2	yes		prostate carcinoma			E			Mis				"30835,CD209,ENSG00000090659,Q9NNX6"
CD274	CD274 molecule	29126	9:5456114-5467862	1		9p24	yes		"PMBL, Hodgkin lymphoma"			L	Dom	"TSG, fusion"	T	CIITA			"29126,CD274,ENSG00000120217,PDCD1LG1,Q9NZQ7"
CD28	CD28 molecule	940	2:203706697-203734912	2		2q33.2	yes		T-cell lymphoma			L		oncogene	Mis				"940,CD28,ENSG00000178562,P10747"
CD74	"CD74 molecule, major histocompatibility complex, class II invariant chain"	972	5:150402584-150412749	1		5q32	yes		NSCLC			E	Dom	"oncogene, fusion"	T	"ROS1, NRG1"			"972,CD74,DHLAG,ENSG00000019582,P04233"
CD79A	"CD79a molecule, immunoglobulin-associated alpha"	973	19:41877305-41880980	1	Yes	19q13.2	yes		"DLBCL, WM"			L	Dom	oncogene	S		yes	Agammaglobulinaemia	"973,CD79A,ENSG00000105369,IGA,P11912"
CD79B	"CD79b molecule, immunoglobulin-associated beta"	974	17:63929226-63932261	1	Yes	17q23	yes		"DLBCL, WM"			L	Dom	oncogene	"Mis, S"		yes	Agammaglobulinaemia	"974,CD79B,ENSG00000007312,IGB,P40259"
CDC73	cell division cycle 73	79577	1:193122201-193250712	1	Yes	1q21-q31	yes	yes	parathyroid adenoma	"parathyroid adenoma, multiple ossifying jaw fibroma"	hyperparathyroidism-jaw tumour syndrome	"E, M"	Rec	TSG	"Mis, N, F"				"79577,C1orf28,CDC73,ENSG00000134371,HRPT1,HRPT2,Q6P1J9"
CDH1	"cadherin 1, type 1, E-cadherin (epithelial) (ECAD)"	999	16:68737416-68833499	1	Yes	16q22.1	yes	yes	"lobular breast, gastric"	gastric	familial gastric carcinoma	E	Rec	TSG	"Mis, N, F, S"				"999,CDH1,ENSG00000039068,P12830,UVO"
CDH10	cadherin 10	1008	5:24487663-24593490	2		5p14.2-p14.1	yes	yes	melanoma	pancreatic ductal adenocarcinoma		E		TSG	"Mis, F, N"				"1008,CDH10,ENSG00000040731,Q9Y6N8"
CDH11	"cadherin 11, type 2, OB-cadherin (osteoblast)"	1009	16:64947603-65004869	1	Yes	16q22.1	yes		aneurysmal bone cyst			M	Dom	"TSG, fusion"	T	USP6			"1009,CDH11,ENSG00000140937,P55287"
